SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,11,1,8,1
2,11,10,2,0
3,21,7,7,5
4,22,4,8,2
5,22,6,11,3
6,22,2,16,4
7,29,3,18,8
8,31,5,7,6
9,31,9,15,7
10,32,8,4,9
11,43,1,8,11
12,43,4,16,12
13,43,10,4,10
14,53,2,7,14
15,53,7,9,15
16,54,6,16,13
17,62,9,10,17
18,63,5,9,16
19,64,3,8,18
20,65,8,16,19
21,75,4,12,22
22,75,6,17,23
23,76,10,16,20
24,76,1,19,21
25,83,9,1,27
26,84,5,10,26
27,84,7,5,25
28,85,2,17,24
29,86,3,8,28
30,93,8,5,29
31,101,1,1,31
32,102,10,5,30
33,109,6,6,33
34,109,2,18,34
35,109,4,1,32
36,110,8,10,39
37,112,9,11,37
38,112,3,14,38
39,112,7,2,35
40,112,5,4,36
41,118,1,6,41
42,118,4,18,42
43,119,10,10,40
44,126,6,18,43
45,126,2,20,44
46,129,5,8,46
47,129,9,16,47
48,129,7,2,45
49,137,2,1,53
50,138,6,10,52
51,139,1,9,50
52,139,4,13,51
53,140,3,16,48
54,140,10,19,49
55,145,5,18,55
56,145,7,1,54
57,148,9,2,56
58,150,2,7,61
59,151,1,11,58
60,151,4,16,59
61,151,6,19,60
62,151,10,4,57
63,155,7,12,62
64,163,9,6,64
65,163,10,18,65
66,163,1,20,66
67,164,7,10,70
68,165,5,12,63
69,165,6,7,68
70,165,2,9,69
71,166,4,8,67
72,176,5,11,71
73,176,9,16,72
74,184,6,20,76
75,185,7,10,78
76,186,1,13,74
77,186,4,15,75
78,187,10,16,73
79,187,2,11,77
80,187,5,14,79
81,187,9,19,80
82,195,7,6,86
83,197,1,15,82
84,197,4,17,83
85,197,2,9,85
86,198,10,19,81
87,198,6,4,84
88,207,5,9,87
89,216,4,3,90
90,217,10,9,88
91,217,1,15,89
92,218,6,4,91
93,225,7,18,93
94,226,4,10,97
95,226,1,3,96
96,227,2,9,92
97,227,5,12,94
98,227,10,13,95
99,228,6,7,98
100,235,7,18,100
101,236,10,3,102
102,237,2,12,99
103,237,5,15,101
104,238,1,11,103
105,238,4,16,104
106,238,6,9,105
107,246,2,3,106
108,248,7,8,107
109,259,10,8,108
110,259,1,11,109
111,259,4,19,110
112,267,10,20,114
113,268,4,10,113
114,268,10,3,111
115,270,1,16,112
116,275,10,20,115
117,286,10,14,116
118,295,10,3,117
119,295,10,5,118
120,303,10,20,119
