SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,11,3,8,1
2,11,9,11,2
3,11,8,4,0
4,21,7,7,4
5,22,5,11,3
6,30,10,3,9
7,31,2,7,5
8,31,6,9,6
9,31,4,12,7
10,31,1,13,8
11,38,3,18,11
12,39,8,5,10
13,41,7,8,14
14,41,9,2,12
15,41,5,4,13
16,42,2,11,15
17,53,6,11,16
18,53,4,16,17
19,62,8,10,20
20,64,1,16,18
21,64,10,19,19
22,64,3,8,21
23,74,5,7,23
24,74,7,9,24
25,75,9,16,22
26,84,2,9,25
27,84,6,17,26
28,93,1,3,28
29,93,10,5,29
30,94,4,17,27
31,95,8,16,30
32,105,5,9,33
33,105,7,12,34
34,106,3,16,31
35,106,9,19,32
36,114,6,10,36
37,115,2,12,35
38,122,10,18,39
39,122,1,1,38
40,123,4,10,37
41,123,7,5,43
42,124,5,9,42
43,125,3,14,40
44,125,9,16,41
45,130,6,6,45
46,130,2,1,44
47,131,4,18,46
48,131,1,20,47
49,139,10,20,48
50,141,9,15,49
51,149,2,18,52
52,150,7,10,51
53,151,5,15,50
54,157,6,18,53
55,160,4,8,54
56,169,9,10,57
57,171,1,8,55
58,171,10,14,56
59,177,2,20,60
60,177,7,1,59
61,178,5,10,58
62,185,6,20,61
63,188,4,8,62
64,196,5,18,66
65,196,9,1,65
66,199,1,8,63
67,199,10,16,64
68,204,7,18,67
69,210,2,16,68
70,220,1,9,71
71,221,6,16,69
72,221,4,19,70
73,228,9,6,73
74,229,7,10,75
75,230,10,9,72
76,230,2,7,76
77,231,5,8,74
78,239,7,6,82
79,239,10,3,80
80,240,6,7,77
81,240,4,13,78
82,240,1,15,79
83,241,2,9,83
84,242,5,14,81
85,251,4,16,85
86,251,1,19,86
87,251,6,4,84
88,259,7,18,89
89,261,5,12,88
90,261,2,9,90
91,261,1,15,93
92,262,10,19,87
93,262,4,16,92
94,262,6,4,91
95,270,1,6,100
96,270,10,20,101
97,271,10,3,94
98,272,5,12,95
99,272,2,17,97
100,272,4,15,99
101,273,6,19,98
102,273,7,2,96
103,282,2,3,103
104,283,6,7,104
105,284,7,2,102
106,291,4,3,105
107,293,1,11,106
108,293,10,16,107
109,300,4,10,108
110,303,10,13,110
111,304,1,11,109
112,308,4,1,111
113,313,10,5,113
114,315,1,11,112
115,322,10,10,114
116,330,10,20,115
117,341,10,2,116
118,352,10,4,117
119,363,10,4,118
120,374,10,8,119
