SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,2,8,10,0
2,5,3,14,1
3,10,9,2,2
4,12,5,9,3
5,14,4,3,7
6,16,1,15,9
7,16,10,3,8
8,21,3,18,11
9,21,8,5,10
10,24,6,9,4
11,25,7,1,5
12,26,2,11,6
13,27,9,16,12
14,28,7,10,15
15,28,2,12,16
16,30,4,12,17
17,32,10,19,18
18,36,5,9,13
19,36,1,19,19
20,39,8,4,20
21,40,6,11,14
22,43,3,16,21
23,45,6,10,24
24,47,7,10,25
25,48,2,7,26
26,49,4,17,27
27,49,10,19,28
28,50,1,13,29
29,54,9,16,22
30,57,5,8,23
31,65,8,16,30
32,71,3,8,31
33,71,9,11,32
34,74,6,7,34
35,76,9,10,41
36,77,7,7,35
37,78,2,17,36
38,78,4,19,37
39,79,10,5,38
40,83,1,20,39
41,85,5,11,33
42,87,5,10,42
43,88,3,8,40
44,88,6,7,43
45,90,2,18,45
46,90,7,5,44
47,92,5,12,50
48,94,6,17,51
49,95,4,18,46
50,97,10,4,47
51,100,7,18,52
52,101,1,16,48
53,102,9,6,49
54,104,2,20,53
55,112,4,16,54
56,114,5,12,58
57,116,6,19,59
58,117,7,18,60
59,123,10,16,55
60,124,1,6,56
61,125,9,1,57
62,134,2,16,61
63,145,4,16,62
64,146,10,9,63
65,148,9,15,65
66,150,5,15,66
67,153,6,18,67
68,158,1,9,64
69,158,7,2,68
70,170,2,9,69
71,171,4,1,70
72,172,10,8,71
73,176,9,19,73
74,177,5,14,74
75,179,6,4,75
76,182,7,2,76
77,184,2,9,77
78,186,1,8,72
79,188,10,3,79
80,190,1,3,80
81,191,5,7,81
82,195,6,4,82
83,200,4,8,78
84,200,7,6,83
85,200,2,9,84
86,202,1,15,87
87,202,10,3,86
88,205,5,18,88
89,209,6,20,89
90,212,7,9,90
91,213,2,1,91
92,214,4,8,85
93,216,4,10,92
94,218,10,10,93
95,218,2,3,98
96,220,4,10,99
97,223,5,4,95
98,223,10,5,100
99,227,6,16,96
100,229,1,1,94
101,230,7,8,97
102,232,7,12,103
103,233,2,7,104
104,235,4,13,105
105,240,10,13,106
106,242,6,6,102
107,244,1,8,101
108,246,4,15,108
109,249,10,14,109
110,258,1,11,107
111,269,4,16,111
112,272,1,11,110
113,280,10,16,112
114,285,10,18,114
115,286,1,11,113
116,292,10,4,115
117,301,10,20,116
118,310,10,20,117
119,320,10,2,118
120,329,10,20,119
