SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,2,3,1
2,11,8,11,0
3,18,5,3,4
4,19,2,7,2
5,19,10,15,3
6,28,5,17,5
7,29,8,14,6
8,29,2,15,7
9,37,8,6,10
10,38,4,10,9
11,40,2,4,8
12,49,2,10,11
13,57,4,6,14
14,58,5,10,12
15,59,1,13,13
16,60,10,11,15
17,65,4,20,16
18,67,6,9,17
19,73,5,20,18
20,73,2,18,19
21,84,5,16,20
22,94,10,7,22
23,95,5,2,21
24,105,2,16,24
25,105,7,9,26
26,105,10,4,23
27,106,5,11,25
28,115,7,15,28
29,116,10,2,27
30,127,10,14,29
31,136,4,10,31
32,136,3,5,33
33,137,2,15,32
34,138,10,2,30
35,147,2,7,34
36,158,2,8,35
37,158,8,16,36
38,167,10,3,37
39,176,2,3,40
40,178,8,14,38
41,178,1,8,39
42,186,6,1,43
43,188,10,17,42
44,188,8,12,45
45,189,2,14,41
46,189,7,19,44
47,197,10,1,47
48,199,7,17,46
49,199,2,7,49
50,200,8,19,48
51,208,10,18,51
52,211,2,19,50
53,219,10,18,53
54,219,2,1,52
55,227,5,18,54
56,227,7,1,56
57,229,4,15,55
58,229,2,9,57
59,237,2,20,59
60,239,7,9,58
61,248,2,14,60
62,259,2,8,61
63,259,8,11,62
64,268,2,5,63
65,269,9,13,64
66,279,2,19,65
67,287,2,6,66
68,289,10,12,67
69,289,1,17,69
70,290,7,8,68
71,295,8,6,70
72,296,2,10,72
73,297,5,13,71
74,306,8,3,75
75,307,5,9,73
76,307,10,13,74
77,308,7,19,76
78,317,5,15,77
79,325,2,20,81
80,327,10,15,78
81,328,7,19,80
82,328,4,2,79
83,334,8,10,83
84,334,2,3,82
85,342,2,6,84
86,343,6,3,85
87,345,4,19,86
88,345,5,14,87
89,353,2,8,88
90,361,2,6,89
91,362,3,3,91
92,363,10,9,90
93,373,3,9,92
94,383,2,9,93
95,394,2,14,94
96,403,1,10,96
97,405,2,4,95
98,413,1,15,97
99,416,2,19,98
100,416,8,16,99
101,424,2,18,100
102,426,5,15,101
103,427,10,11,102
104,427,8,16,103
105,435,2,20,106
106,438,7,16,104
107,438,8,11,105
108,438,5,4,107
109,446,2,2,108
110,449,8,4,109
111,455,2,10,110
112,463,7,6,113
113,466,2,8,111
114,466,8,14,112
115,477,2,2,114
116,485,6,20,118
117,486,2,10,115
118,487,1,15,117
119,487,10,17,119
120,488,7,2,116
