SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,11,5,2,0
2,19,6,1,3
3,20,2,5,4
4,21,10,12,2
5,22,5,4,1
6,31,10,9,5
7,40,4,10,7
8,42,10,4,6
9,42,7,2,8
10,51,2,3,10
11,53,10,14,9
12,64,8,14,11
13,72,7,1,15
14,73,4,10,13
15,74,5,9,16
16,75,8,16,12
17,75,2,4,14
18,83,5,10,17
19,92,2,10,18
20,94,1,8,19
21,103,2,14,20
22,111,6,20,23
23,111,2,1,21
24,114,7,8,22
25,125,7,19,24
26,125,5,11,25
27,136,2,19,26
28,145,2,3,28
29,146,4,15,29
30,147,8,19,27
31,154,2,10,30
32,158,8,14,31
33,162,2,20,32
34,171,2,10,33
35,180,2,3,34
36,190,1,15,37
37,191,2,14,35
38,191,10,2,36
39,202,2,16,38
40,202,8,14,39
41,210,2,6,41
42,212,7,15,42
43,213,8,11,40
44,220,10,18,46
45,221,3,5,45
46,222,7,9,43
47,222,1,13,44
48,222,5,15,47
49,223,2,19,48
50,230,3,3,49
51,231,5,20,51
52,232,2,10,50
53,242,1,17,53
54,243,2,14,52
55,251,1,10,54
56,259,4,20,58
57,261,1,15,55
58,261,8,12,57
59,262,5,16,56
60,267,4,6,59
61,271,10,13,62
62,272,8,11,60
63,272,7,19,61
64,283,2,19,63
65,293,2,9,64
66,294,8,11,65
67,303,6,9,66
68,303,10,3,68
69,304,5,17,70
70,304,2,2,67
71,305,4,19,69
72,314,2,9,71
73,322,8,6,74
74,324,10,15,73
75,325,2,4,72
76,333,2,20,75
77,334,5,3,76
78,336,8,4,77
79,345,6,3,81
80,346,5,15,79
81,346,7,17,80
82,347,8,16,78
83,356,5,13,82
84,366,9,13,83
85,366,2,7,84
86,374,2,6,85
87,385,2,8,86
88,395,2,7,87
89,403,5,18,90
90,405,10,7,88
91,405,2,15,89
92,406,7,16,91
93,414,5,14,92
94,415,10,15,94
95,416,2,8,93
96,424,2,20,95
97,424,10,18,96
98,434,10,17,97
99,444,3,9,99
100,445,10,11,98
101,453,8,6,101
102,453,2,18,102
103,456,10,11,100
104,464,2,8,103
105,466,10,17,104
106,466,7,9,105
107,473,8,3,107
108,474,2,15,106
109,482,7,6,110
110,483,8,10,109
111,484,2,7,108
112,495,2,8,111
113,495,4,2,112
114,503,2,18,113
115,511,10,1,117
116,514,7,19,115
117,514,8,16,116
118,514,2,2,114
119,522,2,6,119
120,525,10,2,118
