SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,2,8,10,1
2,2,10,12,2
3,2,7,15,3
4,2,2,3,0
5,4,5,17,4
6,4,4,19,5
7,4,3,3,8
8,7,9,13,9
9,7,2,14,10
10,9,6,20,6
11,12,8,14,11
12,12,10,18,12
13,14,1,8,7
14,17,7,2,13
15,19,1,10,17
16,22,3,5,18
17,27,8,14,20
18,27,5,2,14
19,27,2,5,19
20,29,4,6,15
21,29,6,9,16
22,32,10,14,21
23,38,7,16,22
24,40,4,10,24
25,40,1,15,26
26,49,5,16,23
27,50,3,9,27
28,51,6,1,25
29,62,2,9,28
30,64,8,11,29
31,66,1,15,35
32,66,6,3,34
33,68,7,17,31
34,68,2,15,36
35,69,5,13,32
36,70,8,19,37
37,73,4,20,33
38,78,10,11,30
39,80,4,10,41
40,82,1,17,42
41,82,2,19,43
42,83,10,13,38
43,83,8,14,44
44,88,10,18,45
45,90,7,6,39
46,90,5,9,40
47,92,4,15,48
48,95,1,13,49
49,95,2,14,50
50,97,8,4,51
51,102,7,9,46
52,104,5,11,47
53,104,10,4,52
54,106,5,3,54
55,114,7,9,53
56,114,4,2,55
57,116,5,10,60
58,124,2,2,56
59,125,8,16,57
60,126,10,9,58
61,126,2,10,61
62,127,8,12,62
63,127,7,1,59
64,128,10,15,63
65,131,7,19,64
66,132,5,14,65
67,134,5,15,70
68,137,2,14,66
69,139,2,15,71
70,143,8,16,67
71,145,10,1,68
72,146,7,8,69
73,150,7,19,74
74,151,5,18,75
75,154,8,16,72
76,156,2,18,76
77,159,10,11,73
78,166,8,6,77
79,168,10,3,78
80,170,7,19,79
81,173,5,4,80
82,175,10,15,83
83,177,5,15,84
84,180,2,4,81
85,183,2,7,85
86,185,8,6,82
87,188,10,7,87
88,194,5,20,88
89,199,8,11,86
90,203,2,20,89
91,203,10,17,91
92,207,2,19,92
93,213,8,11,90
94,215,8,3,93
95,217,10,17,94
96,217,2,19,95
97,227,10,2,96
98,237,2,2,97
99,247,10,2,98
100,248,2,16,99
101,260,2,6,100
102,272,2,6,101
103,284,2,9,102
104,297,2,1,103
105,311,2,8,104
106,313,2,3,105
107,315,2,3,106
108,317,2,10,107
109,320,2,7,108
110,323,2,7,109
111,328,2,18,110
112,335,2,4,111
113,344,2,20,112
114,353,2,20,113
115,365,2,6,114
116,379,2,8,115
117,393,2,8,116
118,395,2,10,117
119,397,2,10,118
120,411,2,8,119
