SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,1,1,0
2,8,4,5,1
3,16,3,5,2
4,17,5,7,4
5,17,2,2,3
6,18,4,9,6
7,18,1,3,5
8,26,2,1,8
9,27,5,2,9
10,28,3,9,7
11,36,4,7,11
12,36,1,2,10
13,36,2,4,13
14,38,5,9,14
15,40,3,6,12
16,48,1,9,15
17,48,3,1,17
18,48,2,4,18
19,52,4,6,16
20,64,5,6,19
21,72,3,4,22
22,76,1,6,20
23,76,4,10,21
24,80,2,4,23
25,88,5,6,24
26,96,3,4,27
27,96,2,5,28
28,100,1,6,25
29,100,4,10,26
30,112,5,10,29
31,120,4,1,31
32,120,3,4,32
33,121,2,7,33
34,124,1,10,30
35,133,1,7,34
36,134,4,3,35
37,136,3,6,36
38,144,2,3,37
39,152,4,1,39
40,152,3,5,40
41,154,2,8,41
42,154,1,3,38
43,162,4,5,43
44,166,1,6,42
45,170,3,5,44
46,172,2,8,45
47,174,1,1,46
48,175,4,2,47
49,184,1,7,49
50,184,3,2,48
51,193,3,7,51
52,193,4,2,50
53,202,1,7,52
54,210,1,4,55
55,211,4,7,53
56,214,3,6,54
57,218,1,4,56
58,228,1,3,57
59,238,1,3,58
60,246,1,4,59
