SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,5,2,0
2,18,3,7,2
3,18,2,2,1
4,19,1,9,4
5,19,4,3,3
6,27,2,1,6
7,29,5,9,5
8,35,3,1,7
9,35,4,5,8
10,36,1,2,9
11,38,5,7,10
12,47,2,7,11
13,48,3,9,12
14,56,2,4,16
15,58,4,9,13
16,60,1,6,14
17,60,5,10,15
18,64,3,4,17
19,66,4,5,18
20,69,1,7,19
21,72,5,6,20
22,72,2,4,21
23,80,3,4,22
24,81,1,7,24
25,81,4,2,23
26,84,5,6,25
27,88,2,4,26
28,96,3,4,27
29,97,1,7,29
30,97,4,2,28
31,98,2,3,30
32,108,3,6,31
33,116,2,5,34
34,120,4,6,32
35,120,1,10,33
36,124,3,5,35
37,129,4,7,36
38,130,2,8,38
39,130,1,3,37
40,136,3,6,39
41,138,1,1,41
42,140,2,8,42
43,141,4,10,40
44,148,3,6,43
45,149,1,1,45
46,153,4,10,44
47,156,3,5,46
48,162,4,7,47
49,163,1,3,48
50,164,3,5,49
51,170,4,1,50
52,171,1,4,51
53,173,3,2,52
54,178,4,1,53
55,179,1,4,54
56,187,1,4,55
57,197,1,3,56
58,207,1,3,57
59,219,1,6,58
60,231,1,6,59
