SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,3,4,9,0
2,18,1,6,1
3,36,1,6,2
4,44,4,1,4
5,54,3,6,3
6,58,1,4,5
7,62,4,3,7
8,64,3,5,6
9,68,1,10,9
10,86,3,4,8
11,94,1,3,11
12,106,1,2,12
13,108,2,4,10
14,118,5,2,13
15,124,4,6,14
16,142,1,6,15
17,152,4,5,17
18,160,5,6,16
19,164,1,4,18
20,186,3,4,19
21,208,2,4,20
22,216,3,1,23
23,218,2,5,24
24,225,4,7,22
25,230,1,4,21
26,238,1,3,26
27,252,3,4,25
28,260,1,1,28
29,270,3,6,27
30,274,2,4,29
31,287,1,7,31
32,288,5,6,30
33,291,5,9,32
34,292,4,10,33
35,296,1,3,35
36,298,2,8,34
37,306,2,1,36
38,310,4,2,37
39,313,3,9,40
40,314,4,10,38
41,318,1,3,39
42,326,2,3,42
43,328,3,5,43
44,331,4,7,41
45,343,3,2,45
46,348,1,7,44
47,358,2,8,47
48,365,1,7,46
49,382,2,7,48
50,392,4,5,50
51,399,5,7,49
52,407,1,1,52
53,415,4,1,53
54,416,3,7,51
55,419,1,9,55
56,434,3,6,54
57,438,5,10,58
58,444,3,5,56
59,446,2,2,57
60,458,4,2,59
