SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,17,2,7,0
2,27,2,5,1
3,37,3,8,3
4,44,2,7,2
5,52,2,3,4
6,62,2,8,5
7,72,2,5,6
8,82,4,5,7
9,84,2,2,9
10,94,1,4,8
11,101,2,7,10
12,111,3,5,12
13,119,2,6,11
14,127,2,1,13
15,149,2,4,14
16,153,2,10,15
17,165,3,2,17
18,169,3,10,18
19,170,2,7,16
20,174,2,10,19
21,177,2,9,20
22,187,2,5,21
23,197,2,5,22
24,199,3,2,23
25,205,2,1,24
26,217,2,2,25
27,221,2,10,26
28,238,2,7,28
29,239,5,4,27
30,255,1,7,29
31,259,1,10,32
32,261,3,4,30
33,264,3,9,33
34,272,2,7,31
35,282,2,5,34
36,286,2,10,37
37,292,1,5,36
38,294,3,4,35
39,294,2,3,38
40,297,3,9,39
41,315,3,6,40
42,333,2,6,41
43,355,2,4,42
44,363,3,3,45
45,373,2,6,44
46,377,5,4,43
47,383,2,8,46
48,386,2,9,47
49,390,2,10,48
50,412,2,4,49
51,415,2,9,50
52,432,2,7,51
53,435,2,9,52
54,452,2,7,53
55,470,2,6,54
56,480,2,5,55
57,498,2,6,56
58,501,2,9,57
59,506,1,1,59
60,508,3,8,58
