SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,17,1,7,2
2,18,3,6,1
3,22,2,4,0
4,32,4,5,4
5,40,1,1,7
6,42,3,8,6
7,42,2,5,5
8,44,5,4,3
9,66,5,4,8
10,76,1,5,11
11,78,3,2,10
12,88,2,4,9
13,92,1,10,14
14,98,3,8,13
15,98,2,5,12
16,101,3,9,16
17,102,2,10,15
18,114,3,2,19
19,120,2,6,18
20,120,1,4,17
21,130,3,5,21
22,132,2,2,20
23,140,3,3,23
24,142,2,8,22
25,146,3,10,25
26,150,2,3,24
27,153,2,9,26
28,171,2,6,28
29,172,3,4,27
30,175,3,9,29
31,178,2,9,30
32,196,2,6,32
33,197,3,4,31
34,213,2,7,33
35,225,2,2,34
36,235,2,5,35
37,245,2,8,36
38,253,2,1,37
39,261,2,3,38
40,265,2,10,39
41,268,2,9,40
42,290,2,4,41
43,308,2,6,42
44,325,2,7,43
45,335,2,5,44
46,345,2,5,45
47,353,2,1,46
48,357,2,10,47
49,361,2,10,48
50,364,2,9,49
51,382,2,6,50
52,399,2,7,51
53,416,2,7,52
54,426,2,5,53
55,430,2,10,54
56,433,2,9,55
57,450,2,7,56
58,467,2,7,57
59,484,2,7,58
60,501,2,7,59
