SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,10,4,5,0
2,22,5,4,1
3,39,2,7,4
4,40,3,6,3
5,44,1,4,2
6,56,3,2,7
7,61,1,7,6
8,66,5,4,5
9,68,2,2,8
10,71,3,8,10
11,71,1,5,9
12,75,1,10,12
13,76,2,1,11
14,79,3,10,13
15,79,2,9,14
16,84,1,1,15
17,87,3,3,16
18,90,3,9,18
19,95,2,3,17
20,98,2,9,19
21,116,2,6,21
22,117,3,4,20
23,129,3,2,22
24,139,3,5,24
25,141,2,2,23
26,144,3,9,26
27,151,2,8,25
28,154,2,9,27
29,172,2,6,29
30,173,3,4,28
31,183,3,8,30
32,193,2,8,31
33,201,2,1,32
34,209,2,3,33
35,213,2,10,34
36,216,2,9,35
37,238,2,4,36
38,256,2,6,37
39,273,2,7,38
40,283,2,5,39
41,293,2,5,40
42,297,2,10,41
43,301,2,10,42
44,304,2,9,43
45,326,2,4,44
46,344,2,6,45
47,361,2,7,46
48,371,2,5,47
49,381,2,5,48
50,385,2,10,49
51,389,2,10,50
52,411,2,4,51
53,429,2,6,52
54,446,2,7,53
55,463,2,7,54
56,473,2,5,55
57,483,2,5,56
58,500,2,7,57
59,517,2,7,58
60,534,2,7,59
