15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,6,5
,0,1,1,2
,0,2,6,1
,0,3,9,5
,0,4,10,1
,0,5,3,2
,0,6,5,3
,0,7,7,4
,0,8,6,3
,0,9,1,4
,0,10,3,4
,0,11,7,1
,0,12,6,3
,0,13,10,5
,0,14,6,4
,0,15,4,2
,0,16,7,1
,0,17,7,2
,0,18,5,4
,0,19,4,1
,0,20,5,2
,0,21,7,1
,0,22,6,1
,0,23,2,2
,0,24,6,5
,0,25,9,4
,0,26,10,4
,0,27,10,4
,0,28,1,3
,0,29,2,3
,0,30,7,3
,0,31,7,4
,0,32,4,1
,0,33,2,4
,0,34,4,3
,0,35,3,1
,0,36,1,1
,0,37,8,2
,0,38,9,1
,0,39,1,1
,0,40,2,5
,0,41,7,5
,0,42,4,2
,0,43,4,3
,0,44,8,2
,0,45,1,4
,0,46,2,4
,0,47,3,1
,0,48,5,3
,0,49,9,3
,0,50,4,2
,0,51,5,3
,0,52,2,1
,0,53,5,4
,0,54,6,3
,0,55,4,3
,0,56,3,1
,0,57,4,1
,0,58,6,1
,0,59,3,1
