15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,3,1
,0,1,10,10
,0,2,12,2
,0,3,15,4
,0,4,7,7
,0,5,17,6
,0,6,14,5
,0,7,2,9
,0,8,16,3
,0,9,16,8
,0,10,6,1
,0,11,9,10
,0,12,1,2
,0,13,8,4
,0,14,10,7
,0,15,10,6
,0,16,12,5
,0,17,15,9
,0,18,14,3
,0,19,4,8
,0,20,20,1
,0,21,20,10
,0,22,16,2
,0,23,16,4
,0,24,6,7
,0,25,9,6
,0,26,8,5
,0,27,11,9
,0,28,18,3
,0,29,10,8
,0,30,15,1
,0,31,19,10
,0,32,18,2
,0,33,18,4
,0,34,2,7
,0,35,16,6
,0,36,9,5
,0,37,1,9
,0,38,8,3
,0,39,5,8
,0,40,13,1
,0,41,13,10
,0,42,20,2
,0,43,16,4
,0,44,9,7
,0,45,11,6
,0,46,11,5
,0,47,10,9
,0,48,8,3
,0,49,8,1
,0,50,3,10
,0,51,3,2
,0,52,10,4
,0,53,12,7
,0,54,7,6
,0,55,7,5
,0,56,19,9
,0,57,19,1
,0,58,5,10
,0,59,9,2
,0,60,1,4
,0,61,1,7
,0,62,7,6
,0,63,18,5
,0,64,16,9
,0,65,16,1
,0,66,8,10
,0,67,11,2
,0,68,3,4
,0,69,10,7
,0,70,19,6
,0,71,4,5
,0,72,16,9
,0,73,9,1
,0,74,3,10
,0,75,7,2
,0,76,17,4
,0,77,5,7
,0,78,18,6
,0,79,9,5
,0,80,6,9
,0,81,1,1
,0,82,3,10
,0,83,7,2
,0,84,19,4
,0,85,18,7
,0,86,4,6
,0,87,10,5
,0,88,15,1
,0,89,19,10
,0,90,9,2
,0,91,8,4
,0,92,8,7
,0,93,4,6
,0,94,12,5
,0,95,8,1
,0,96,5,10
,0,97,9,2
,0,98,10,4
,0,99,18,7
,0,100,20,6
,0,101,15,5
,0,102,11,1
,0,103,14,10
,0,104,17,2
,0,105,13,4
,0,106,2,7
,0,107,6,6
,0,108,11,1
,0,109,18,10
,0,110,16,4
,0,111,11,1
,0,112,4,10
,0,113,12,4
,0,114,4,10
,0,115,20,10
,0,116,20,10
,0,117,2,10
,0,118,16,10
,0,119,16,10
