15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,3,2
,0,1,18,10
,0,2,19,4
,0,3,16,1
,0,4,5,10
,0,5,6,1
,0,6,4,10
,0,7,2,10
,0,8,18,7
,0,9,15,9
,0,10,3,10
,0,11,3,10
,0,12,1,9
,0,13,8,10
,0,14,8,1
,0,15,10,7
,0,16,1,2
,0,17,10,7
,0,18,8,1
,0,19,9,10
,0,20,20,10
,0,21,4,6
,0,22,5,7
,0,23,11,9
,0,24,4,6
,0,25,11,1
,0,26,5,8
,0,27,17,6
,0,28,10,10
,0,29,10,5
,0,30,20,6
,0,31,7,2
,0,32,2,7
,0,33,9,5
,0,34,8,5
,0,35,19,6
,0,36,12,5
,0,37,8,4
,0,38,13,10
,0,39,17,2
,0,40,3,10
,0,41,3,4
,0,42,15,1
,0,43,8,7
,0,44,9,6
,0,45,17,4
,0,46,16,10
,0,47,6,7
,0,48,9,2
,0,49,8,3
,0,50,2,7
,0,51,20,10
,0,52,18,7
,0,53,15,4
,0,54,19,10
,0,55,6,6
,0,56,18,2
,0,57,14,3
,0,58,10,4
,0,59,19,1
,0,60,18,6
,0,61,2,9
,0,62,14,5
,0,63,9,2
,0,64,12,5
,0,65,18,4
,0,66,11,1
,0,67,6,9
,0,68,3,1
,0,69,11,2
,0,70,8,4
,0,71,10,4
,0,72,16,4
,0,73,18,3
,0,74,20,1
,0,75,15,5
,0,76,10,6
,0,77,7,2
,0,78,12,4
,0,79,4,5
,0,80,7,7
,0,81,20,10
,0,82,12,2
,0,83,11,1
,0,84,20,2
,0,85,7,5
,0,86,16,10
,0,87,12,7
,0,88,16,4
,0,89,10,9
,0,90,13,1
,0,91,16,2
,0,92,9,7
,0,93,16,4
,0,94,18,5
,0,95,4,8
,0,96,19,9
,0,97,1,7
,0,98,14,10
,0,99,1,1
,0,100,4,10
,0,101,8,3
,0,102,16,3
,0,103,11,5
,0,104,16,8
,0,105,19,10
,0,106,9,5
,0,107,9,2
,0,108,13,4
,0,109,7,6
,0,110,15,1
,0,111,10,8
,0,112,11,6
,0,113,16,6
,0,114,1,4
,0,115,16,9
,0,116,9,1
,0,117,16,9
,0,118,5,10
,0,119,7,6
