15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,10,9
,0,1,16,1
,0,2,5,7
,0,3,5,3
,0,4,9,2
,0,5,13,6
,0,6,2,8
,0,7,19,5
,0,8,8,10
,0,9,4,4
,0,10,4,9
,0,11,6,1
,0,12,12,7
,0,13,14,3
,0,14,17,2
,0,15,10,6
,0,16,16,8
,0,17,5,5
,0,18,13,10
,0,19,20,4
,0,20,20,9
,0,21,8,1
,0,22,4,7
,0,23,4,3
,0,24,14,2
,0,25,17,6
,0,26,17,8
,0,27,16,5
,0,28,13,10
,0,29,12,4
,0,30,12,9
,0,31,14,1
,0,32,17,7
,0,33,16,3
,0,34,5,2
,0,35,5,6
,0,36,9,8
,0,37,18,5
,0,38,3,10
,0,39,10,4
,0,40,1,9
,0,41,1,1
,0,42,9,7
,0,43,9,3
,0,44,13,2
,0,45,18,6
,0,46,2,8
,0,47,19,5
,0,48,4,10
,0,49,10,4
,0,50,1,9
,0,51,1,1
,0,52,9,7
,0,53,13,3
,0,54,18,2
,0,55,3,6
,0,56,11,8
,0,57,20,5
,0,58,6,10
,0,59,6,9
,0,60,12,1
,0,61,14,7
,0,62,5,3
,0,63,5,2
,0,64,9,6
,0,65,13,8
,0,66,18,5
,0,67,3,10
,0,68,3,9
,0,69,11,1
,0,70,15,7
,0,71,19,3
,0,72,20,2
,0,73,6,6
,0,74,10,8
,0,75,9,5
,0,76,11,10
,0,77,11,9
,0,78,15,1
,0,79,19,7
,0,80,8,3
,0,81,4,2
,0,82,6,6
,0,83,10,8
,0,84,7,5
,0,85,17,10
,0,86,17,9
,0,87,10,1
,0,88,16,7
,0,89,18,3
,0,90,18,2
,0,91,3,6
,0,92,20,8
,0,93,8,5
,0,94,17,10
,0,95,5,9
,0,96,5,1
,0,97,13,7
,0,98,18,3
,0,99,3,2
,0,100,11,6
,0,101,7,8
,0,102,8,5
,0,103,10,10
,0,104,13,9
,0,105,13,1
,0,106,2,7
,0,107,2,3
,0,108,3,2
,0,109,19,6
,0,110,7,8
,0,111,4,5
,0,112,11,10
,0,113,11,9
,0,114,15,1
,0,115,19,7
,0,116,4,3
,0,117,4,2
,0,118,12,6
,0,119,10,8
,0,120,4,5
,0,121,4,9
,0,122,12,1
,0,123,12,7
,0,124,14,3
,0,125,17,2
,0,126,1,6
,0,127,1,8
,0,128,12,5
,0,129,12,9
,0,130,14,1
,0,131,10,7
,0,132,18,3
,0,133,3,2
,0,134,20,6
,0,135,8,8
,0,136,12,5
,0,137,14,9
,0,138,17,1
,0,139,10,7
,0,140,2,3
,0,141,11,2
,0,142,20,6
,0,143,4,8
,0,144,14,5
,0,145,14,9
,0,146,17,1
,0,147,2,7
,0,148,3,3
,0,149,11,2
,0,150,1,6
,0,151,1,8
,0,152,17,5
,0,153,13,9
,0,154,2,1
,0,155,3,7
,0,156,3,3
,0,157,15,2
,0,158,1,6
,0,159,5,8
,0,160,13,9
,0,161,2,1
,0,162,3,7
,0,163,3,3
,0,164,15,2
,0,165,1,6
,0,166,16,8
,0,167,13,9
,0,168,2,1
,0,169,11,7
,0,170,11,3
,0,171,19,2
,0,172,5,6
,0,173,18,9
,0,174,3,1
,0,175,11,7
,0,176,11,3
,0,177,20,2
,0,178,9,6
,0,179,18,9
,0,180,15,1
,0,181,15,7
,0,182,4,3
,0,183,14,2
,0,184,14,9
,0,185,17,1
,0,186,15,7
,0,187,15,3
,0,188,20,2
,0,189,8,9
,0,190,8,1
,0,191,4,7
,0,192,12,3
,0,193,10,2
,0,194,2,9
,0,195,19,1
,0,196,20,7
,0,197,12,3
,0,198,20,2
,0,199,8,9
,0,200,4,1
,0,201,6,7
,0,202,12,3
,0,203,7,2
,0,204,6,9
,0,205,17,1
,0,206,20,7
,0,207,14,3
,0,208,14,9
,0,209,16,1
,0,210,20,7
,0,211,14,3
,0,212,14,9
,0,213,16,1
,0,214,7,7
,0,215,14,3
,0,216,14,9
,0,217,1,1
,0,218,7,7
,0,219,14,3
,0,220,3,9
,0,221,19,1
,0,222,6,7
,0,223,3,3
,0,224,3,9
,0,225,20,1
,0,226,14,7
,0,227,11,3
,0,228,15,9
,0,229,4,1
,0,230,14,7
,0,231,11,3
,0,232,15,9
,0,233,4,1
,0,234,14,7
,0,235,15,3
,0,236,19,9
,0,237,9,1
,0,238,19,9
,0,239,19,9
