15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,10,4
,0,1,13,10
,0,2,18,5
,0,3,2,8
,0,4,3,6
,0,5,3,2
,0,6,11,3
,0,7,15,7
,0,8,19,1
,0,9,20,9
,0,10,4,4
,0,11,4,10
,0,12,12,5
,0,13,17,8
,0,14,17,6
,0,15,10,2
,0,16,16,3
,0,17,5,7
,0,18,5,1
,0,19,13,9
,0,20,20,4
,0,21,8,10
,0,22,8,5
,0,23,4,8
,0,24,6,6
,0,25,14,2
,0,26,14,3
,0,27,17,7
,0,28,10,1
,0,29,1,9
,0,30,12,4
,0,31,17,10
,0,32,17,5
,0,33,10,8
,0,34,1,6
,0,35,5,2
,0,36,5,3
,0,37,9,7
,0,38,13,1
,0,39,18,9
,0,40,10,4
,0,41,10,10
,0,42,16,5
,0,43,1,8
,0,44,5,6
,0,45,9,2
,0,46,13,3
,0,47,2,7
,0,48,2,1
,0,49,3,9
,0,50,11,10
,0,51,19,5
,0,52,20,8
,0,53,20,6
,0,54,7,2
,0,55,8,3
,0,56,4,7
,0,57,6,1
,0,58,12,9
,0,59,17,10
,0,60,5,5
,0,61,5,8
,0,62,9,6
,0,63,13,2
,0,64,18,3
,0,65,2,7
,0,66,3,1
,0,67,11,9
,0,68,6,10
,0,69,12,5
,0,70,10,8
,0,71,10,6
,0,72,5,2
,0,73,5,3
,0,74,9,7
,0,75,2,1
,0,76,2,9
,0,77,3,10
,0,78,19,5
,0,79,7,8
,0,80,6,6
,0,81,14,2
,0,82,14,3
,0,83,10,7
,0,84,16,1
,0,85,1,9
,0,86,13,10
,0,87,18,5
,0,88,2,8
,0,89,3,6
,0,90,3,2
,0,91,11,3
,0,92,15,7
,0,93,19,1
,0,94,8,9
,0,95,3,10
,0,96,20,5
,0,97,7,8
,0,98,12,6
,0,99,17,2
,0,100,9,3
,0,101,13,7
,0,102,2,1
,0,103,3,9
,0,104,11,10
,0,105,7,5
,0,106,8,8
,0,107,1,6
,0,108,18,2
,0,109,18,3
,0,110,3,7
,0,111,11,1
,0,112,11,9
,0,113,8,5
,0,114,10,8
,0,115,1,6
,0,116,18,2
,0,117,18,3
,0,118,3,7
,0,119,15,1
,0,120,15,9
,0,121,4,5
,0,122,16,8
,0,123,1,6
,0,124,3,2
,0,125,3,3
,0,126,11,7
,0,127,15,1
,0,128,19,9
,0,129,4,5
,0,130,16,8
,0,131,5,6
,0,132,11,2
,0,133,11,3
,0,134,15,7
,0,135,20,1
,0,136,8,9
,0,137,14,5
,0,138,1,8
,0,139,9,6
,0,140,11,2
,0,141,11,3
,0,142,19,7
,0,143,8,1
,0,144,4,9
,0,145,9,5
,0,146,9,8
,0,147,13,6
,0,148,15,2
,0,149,15,3
,0,150,19,7
,0,151,8,1
,0,152,4,9
,0,153,13,8
,0,154,18,6
,0,155,15,2
,0,156,15,3
,0,157,20,7
,0,158,4,1
,0,159,6,9
,0,160,11,8
,0,161,11,6
,0,162,19,2
,0,163,19,3
,0,164,20,7
,0,165,4,1
,0,166,6,9
,0,167,19,6
,0,168,20,2
,0,169,4,3
,0,170,4,7
,0,171,12,1
,0,172,12,9
,0,173,20,6
,0,174,20,2
,0,175,4,3
,0,176,6,7
,0,177,12,1
,0,178,14,9
,0,179,17,2
,0,180,2,3
,0,181,11,7
,0,182,15,1
,0,183,15,9
,0,184,20,2
,0,185,4,3
,0,186,6,7
,0,187,14,1
,0,188,14,9
,0,189,20,2
,0,190,12,3
,0,191,12,7
,0,192,14,1
,0,193,17,9
,0,194,4,2
,0,195,12,3
,0,196,12,7
,0,197,17,1
,0,198,10,9
,0,199,4,2
,0,200,12,3
,0,201,14,7
,0,202,17,1
,0,203,5,9
,0,204,2,3
,0,205,20,7
,0,206,4,1
,0,207,14,9
,0,208,14,3
,0,209,10,7
,0,210,16,1
,0,211,13,9
,0,212,3,3
,0,213,7,7
,0,214,17,1
,0,215,13,9
,0,216,3,3
,0,217,7,7
,0,218,17,1
,0,219,13,9
,0,220,3,3
,0,221,14,7
,0,222,16,1
,0,223,18,9
,0,224,14,3
,0,225,14,7
,0,226,1,1
,0,227,3,9
,0,228,14,3
,0,229,14,7
,0,230,1,1
,0,231,19,9
,0,232,14,3
,0,233,16,7
,0,234,1,1
,0,235,19,9
,0,236,9,1
,0,237,14,9
,0,238,14,9
,0,239,14,9
