15-11-2023 17:24:11,,
,time,lbl_seq,lbl_loc,lbl_resource
,0,0,17,1
,0,1,8,7
,0,2,3,3
,0,3,3,10
,0,4,20,9
,0,5,20,8
,0,6,5,4
,0,7,5,2
,0,8,9,6
,0,9,13,5
,0,10,12,7
,0,11,12,3
,0,12,14,10
,0,13,17,9
,0,14,7,8
,0,15,8,4
,0,16,2,2
,0,17,3,6
,0,18,11,5
,0,19,3,7
,0,20,10,3
,0,21,16,10
,0,22,4,9
,0,23,4,8
,0,24,6,4
,0,25,12,2
,0,26,14,6
,0,27,17,5
,0,28,17,3
,0,29,8,10
,0,30,8,9
,0,31,2,8
,0,32,3,4
,0,33,11,2
,0,34,15,6
,0,35,19,5
,0,36,20,10
,0,37,5,9
,0,38,5,8
,0,39,13,4
,0,40,10,2
,0,41,10,6
,0,42,16,5
,0,43,4,10
,0,44,14,9
,0,45,3,8
,0,46,3,4
,0,47,11,2
,0,48,15,6
,0,49,20,5
,0,50,20,10
,0,51,18,9
,0,52,10,8
,0,53,10,4
,0,54,16,2
,0,55,4,6
,0,56,6,5
,0,57,15,10
,0,58,10,9
,0,59,16,8
,0,60,16,4
,0,61,4,2
,0,62,6,6
,0,63,12,5
,0,64,18,10
,0,65,10,9
,0,66,16,8
,0,67,4,4
,0,68,6,2
,0,69,6,6
,0,70,12,5
,0,71,2,9
,0,72,11,8
,0,73,11,4
,0,74,15,2
,0,75,19,6
,0,76,20,5
,0,77,4,9
,0,78,11,8
,0,79,11,4
,0,80,15,2
,0,81,20,6
,0,82,20,5
,0,83,1,8
,0,84,18,4
,0,85,16,2
,0,86,16,6
,0,87,4,5
,0,88,15,8
,0,89,15,4
,0,90,19,2
,0,91,1,6
,0,92,1,5
,0,93,5,8
,0,94,12,4
,0,95,12,2
,0,96,14,6
,0,97,17,5
,0,98,1,8
,0,99,17,4
,0,100,17,2
,0,101,7,6
,0,102,8,5
,0,103,1,8
,0,104,17,4
,0,105,7,2
,0,106,7,6
,0,107,8,5
,0,108,5,8
,0,109,17,4
,0,110,7,2
,0,111,8,6
,0,112,8,5
,0,113,9,8
,0,114,7,4
,0,115,8,2
,0,116,8,6
,0,117,2,5
,0,118,3,4
,0,119,15,2
,0,120,15,6
,0,121,20,5
,0,122,20,4
,0,123,5,2
,0,124,5,6
,0,125,9,5
,0,126,2,4
,0,127,3,2
,0,128,3,6
,0,129,11,5
,0,130,15,4
,0,131,19,2
,0,132,5,6
,0,133,5,5
,0,134,2,4
,0,135,3,2
,0,136,15,6
,0,137,15,5
,0,138,19,4
,0,139,20,2
,0,140,9,6
,0,141,13,5
,0,142,2,4
,0,143,15,2
,0,144,13,6
,0,145,13,5
,0,146,2,4
,0,147,19,2
,0,148,13,6
,0,149,13,5
,0,150,2,4
,0,151,19,2
,0,152,13,6
,0,153,13,5
,0,154,15,4
,0,155,20,2
,0,156,18,6
,0,157,18,5
,0,158,15,4
,0,159,5,2
,0,160,18,6
,0,161,18,5
,0,162,15,4
,0,163,5,2
,0,164,10,6
,0,165,10,5
,0,166,19,4
,0,167,9,2
,0,168,10,6
,0,169,10,5
,0,170,20,4
,0,171,9,2
,0,172,16,6
,0,173,4,5
,0,174,20,4
,0,175,6,2
,0,176,12,6
,0,177,12,5
,0,178,14,6
,0,179,17,5
,0,180,8,6
,0,181,2,5
,0,182,2,6
,0,183,3,5
,0,184,4,6
,0,185,6,5
,0,186,12,6
,0,187,12,5
,0,188,17,6
,0,189,17,5
,0,190,2,6
,0,191,2,5
,0,192,12,6
,0,193,12,5
,0,194,17,6
,0,195,17,5
,0,196,12,6
,0,197,12,5
,0,198,17,6
,0,199,17,5
,0,200,17,6
,0,201,7,5
,0,202,17,6
,0,203,7,5
,0,204,3,5
,0,205,3,5
,0,206,11,5
,0,207,15,5
,0,208,20,5
,0,209,20,5
,0,210,5,5
,0,211,5,5
,0,212,18,5
,0,213,10,5
,0,214,10,5
,0,215,6,5
,0,216,6,5
,0,217,14,5
,0,218,14,5
,0,219,3,5
,0,220,3,5
,0,221,11,5
,0,222,15,5
,0,223,20,5
,0,224,20,5
,0,225,5,5
,0,226,5,5
,0,227,10,5
,0,228,10,5
,0,229,6,5
,0,230,14,5
,0,231,11,5
,0,232,11,5
,0,233,15,5
,0,234,5,5
,0,235,5,5
,0,236,10,5
,0,237,11,5
,0,238,15,5
,0,239,5,5
